ZCTA,MODZCTA
10001,M10001
10002,M10002
10003,M10003
10004,M10004
10005,M10005
10006,M10006
10007,M10007
10009,M10009
10010,M10010
10011,M10011
10012,M10012
10013,M10013
10014,M10014
10016,M10016
10017,M10017
10018,M10018
10019,M10019
10020,M10019
10021,M10021
10022,M10022
10023,M10023
10024,M10024
10025,M10025
10026,M10026
10027,M10027
10028,M10028
10029,M10029
10030,M10030
10031,M10031
10032,M10032
10033,M10033
10034,M10034
10035,M10035
10036,M10036
10037,M10037
10038,M10038
10039,M10039
10040,M10040
10044,M10044
10065,M10065
10069,M10069
10075,M10075
10103,M10019
10110,M10036
10111,M10019
10112,M10019
10115,M10027
10119,M10001
10128,M10128
10152,M10022
10153,M10022
10154,M10022
10162,M10075
10165,M10017
10167,M10017
10168,M10017
10169,M10017
10170,M10017
10171,M10017
10172,M10017
10173,M10017
10174,M10017
10177,M10017
10199,M10001
10271,M10005
10278,M10007
10279,M10007
10280,M10280
10282,M10282
10301,M10301
10302,M10302
10303,M10303
10304,M10304
10305,M10305
10306,M10306
10307,M10307
10308,M10308
10309,M10309
10310,M10310
10311,M10314
10312,M10312
10314,M10314
10451,M10451
10452,M10452
10453,M10453
10454,M10454
10455,M10455
10456,M10456
10457,M10457
10458,M10458
10459,M10459
10460,M10460
10461,M10461
10462,M10462
10463,M10463
10464,M10464
10465,M10465
10466,M10466
10467,M10467
10468,M10468
10469,M10469
10470,M10470
10471,M10471
10472,M10472
10473,M10473
10474,M10474
10475,M10475
11001,M11429
11003,M11411
11004,M11004
11005,M11004
11040,M11004
11101,M11101
11102,M11102
11103,M11103
11104,M11104
11105,M11105
11106,M11106
11109,M11109
11201,M11201
11203,M11203
11204,M11204
11205,M11205
11206,M11206
11207,M11207
11208,M11208
11209,M11209
11210,M11210
11211,M11211
11212,M11212
11213,M11213
11214,M11214
11215,M11215
11216,M11216
11217,M11217
11218,M11218
11219,M11219
11220,M11220
11221,M11221
11222,M11222
11223,M11223
11224,M11224
11225,M11225
11226,M11226
11228,M11228
11229,M11229
11230,M11230
11231,M11231
11232,M11232
11233,M11233
11234,M11234
11235,M11235
11236,M11236
11237,M11237
11238,M11238
11239,M11239
11351,M11357
11354,M11354
11355,M11355
11356,M11356
11357,M11357
11358,M11358
11359,M11360
11360,M11360
11361,M11361
11362,M11362
11363,M11363
11364,M11364
11365,M11365
11366,M11366
11367,M11367
11368,M11368
11369,M11369
11370,M11370
11371,M11369
11372,M11372
11373,M11373
11374,M11374
11375,M11375
11377,M11377
11378,M11378
11379,M11379
11385,M11385
11411,M11411
11412,M11412
11413,M11413
11414,M11414
11415,M11415
11416,M11416
11417,M11417
11418,M11418
11419,M11419
11420,M11420
11421,M11421
11422,M11422
11423,M11423
11424,M11415
11425,M11209
11426,M11426
11427,M11427
11428,M11428
11429,M11429
11430,M11434
11432,M11432
11433,M11433
11434,M11434
11435,M11435
11436,M11436
11451,M11433
11691,M11691
11692,M11692
11693,M11693
11694,M11694
11697,M11697
99999,M99999
